Kosa Kata,Arti Kata
pneumonectomy {neumonectomía},Pengangkatan paru-paru.
pneumonia {neumonía},Infeksi akut pada alveoli.
pneumonitis {neumonitis},Radang paru-paru.
pneumothorax {neumotórax},Akumulasi udara atau gas di rongga pleura.
podagra {podagra},"Nyeri di jempol kaki, sering dikaitkan dengan asam urat."
podiatrist {podiatra},"Spesialis medis yang memeriksa, mendiagnosis, dan menangani gangguan pada kaki."
poikilocytosis {poiquilocitosis},Gangguan dengan sel darah merah berbentuk tidak teratur.
polarization {polarización},Keadaan istirahat jaringan miokard dalam sistem konduksi jantung.
polycystic kidney disease,Kondisi dengan banyak kista di dalam dan di dalam ginjal.
polycythemia {policetemia},Gangguan dengan peningkatan abnormal sel darah merah dan hemoglobin.
polydipsia {polydipsa},Haus yang berlebihan.
polyp {pólipo},Massa jaringan yang menonjol yang menonjol keluar dari permukaan kulit.
polypectomy {polipectomía},Penghapusan polip.
polypoid,Mengandung polip.
polyposis {poliposis},"Kondisi dengan polip, seperti di usus."
polysomnography (PSG),Mencatat kelistrikan dan pola gerakan selama tidur.
polyuria {poliuria},Buang air kecil berlebihan; jumlah air yang berlebihan dalam urin.
pons {pons},Bagian dari batang otak yang mengontrol fungsi pernapasan tertentu.
popliteal artery,Arteri yang memasok darah ke sel-sel di area di belakang lutut.
pore {poro},"Bukaan atau lubang, terutama di bagian kulit."
positron emission tomography (PET) scan,Jenis citra nuklir yang mengukur pergerakan area jantung.
posterior,Di atau ke arah sisi belakang (tubuh).
postprandial blood sugar,"Tes glukosa dalam darah, biasanya sekitar dua jam setelah makan."
post-traumatic stress disorder (PTSD),Kondisi stres traumatis ekstrem yang mungkin terjadi dan berlangsung selama bertahun-tahun setelah waktu atau kejadian t
PPD,Turunan protein tuberkulin yang dimurnikan.
preeclampsia,Infeksi toksik selama kehamilan.
premature,Lahir sebelum usia kehamilan 37 minggu.
premature atrial contractions (PACs),Kontraksi atrium yang terjadi sebelum impuls normal; bisa menjadi penyebab palpitasi.
premature ventricular contractions (PVCs),Kontraksi ventrikel yang terjadi sebelum impuls normal; bisa menjadi penyebab palpitasi.
premolar,Molar pada gigi sulung.
presbyacusis {presbiacusia},Gangguan pendengaran terkait usia.
presbyopia {presbiopía},Penurunan kemampuan terkait usia untuk fokus atau mengakomodasi.
prescription {prescripción},"Perintah yang diberikan oleh dokter untuk dosis obat, rute, dan waktu pemberian."
pressure sore,Lihat ulkus dekubitus.
preventative,Dirancang untuk menghentikan atau mencegah penyakit.
preventive medicine,Spesialisasi medis yang berkaitan dengan pencegahan penyakit.
priapism {priapismo},Ereksi penis yang terus-menerus dan menyakitkan.
primary teeth,Set gigi pertama yang tumbuh secara teratur antara enam bulan sampai usia empat tahun.
probe,Perangkat tajam untuk menjelajahi rongga tubuh atau membersihkan penyumbatan.
process,Pertumbuhan atau proyeksi tulang.
proctitis {proctitis},Radang rektum dan anus.
proctoplasty,Perbaikan rektum dan anus.
proctoscopy {proctoscopia},Pemeriksaan rektum dan anus menggunakan proctoscope.
progesterone {progesterona},Salah satu hormon utama wanita.
prone,Berbaring tengkurap dengan wajah menghadap ke bawah.
proprietary name,Lihat nama dagang.
prostate {próstata} gland,Kelenjar yang mengelilingi uretra yang mengeluarkan cairan untuk membantu sperma bergerak dan berkontraksi dengan jaring
prostatectomy {prostatectomía},Pengangkatan prostat.
prostate-specific antigen (PSA) test,Tes darah untuk kanker prostat.
prostatitis {prostatitis},Radang prostat.
prosthetic device,Alat tiruan yang digunakan sebagai pengganti bagian tubuh yang hilang atau sakit.
proteinuria,Adanya protein yang tidak normal dalam urin.
prothrombin {protrombina},Jenis protein plasma yang membantu pembekuan.
prothrombin time (PT),Uji kemampuan darah untuk membeku.
protocol,Kursus pengobatan.
proximal,Di atau dekat titik pemasangan ke bagasi.
pruritus {prurito},Gatal.
pseudophakia {seudofaquia},Mata dengan lensa yang ditanamkan setelah operasi katarak.
psoriasis {psoriasis},Kondisi kulit kronis disertai lesi bersisik dengan pruritus yang ekstrim.
psychiatry,Spesialisasi medis yang berkaitan dengan diagnosis dan pengobatan gangguan mental.
psychoanalysis,Terapi yang berupaya agar pasien membawa emosi bawah sadar ke permukaan untuk menghadapinya.
psychology,Profesi yang mempelajari perilaku manusia dan menangani gangguan mental.
psychopharmacology,Ilmu yang membahas tentang pengobatan yang mempengaruhi emosi.
psychosis,Pemikiran yang sangat tidak teratur.
psychotherapy,Pengobatan gangguan jiwa dengan komunikasi verbal dan nonverbal.
puberty {pubertad},Periode pra-remaja atau awal remaja ketika karakteristik seks sekunder berkembang dan menstruasi dimulai.
pubes {pubis},Bagian anteroinferior tulang pinggul.
pubic symphysis,Sendi di antara dua tulang kemaluan.
pulmonary abscess,Kumpulan banyak nanah di paru-paru.
pulmonary artery {arteria pulmunar},Salah satu dari dua arteri yang membawa darah yang rendah oksigen dari jantung ke paru-paru.
pulmonary artery stenosis,"Penyempitan arteri pulmonalis, mencegah paru-paru menerima cukup darah dari jantung untuk memberi oksigen."
pulmonary edema,Akumulasi cairan yang tidak normal di paru-paru.
pulmonary edema,Cairan di kantung udara dan bronkiolus biasanya disebabkan oleh kegagalan jantung untuk memompa cukup darah ke dan dari
pulmonary function tests,Tes yang mengukur mekanisme pernapasan.
pulmonary valve,Katup yang mengontrol aliran darah antara ventrikel kanan dan arteri pulmonalis.
pulmonary vein,Salah satu dari empat vena yang membawa darah beroksigen dari paru-paru ke atrium kiri.
pulp,"Jaringan ikat, pembuluh darah, dan saraf yang mengisi rongga pulpa."
pulp cavity,Bagian tengah gigi.
pulse {pulso},"Ekspansi dan kontraksi ritme pembuluh darah, biasanya arteri."
pupil {pupila},Pusat mata berbentuk lingkaran hitam; membuka dan menutup ketika otot di iris mengembang dan berkontraksi sebagai respon
purpura {púrpura},Kondisi kulit dengan perdarahan luas di bawah kulit menutupi area yang luas.
pustule {pústula},Peninggian kecil pada kulit yang mengandung nanah.
pyelitis {pielitis},Radang panggul ginjal.
pyeloplasty,Perbaikan bedah pelvis ginjal.
pyelotomy,Insisi ke pelvis ginjal.
pylorus {píloro},Bagian perut bawah menyempit.
pyoderma {pioderma},Setiap peradangan pada kulit yang menghasilkan nanah.
pyrogenic meningitis,Meningitis yang disebabkan oleh bakteri; bisa berakibat fatal; bakteri meningitis.
pyuria {piuria},Nanah di urin.
rad (radiation absorbed dose),Satuan zat radioaktif yang dapat diserap dalam jangka waktu tertentu.
radiation,Membombardir tumor dengan sinar yang merusak DNA sel.
radiation,Energi dibawa oleh aliran partikel dari suatu zat.
radiation therapy,Pengobatan kanker yang menggunakan radiasi pengion untuk menghancurkan sel-sel ganas.
radiculitis {radiculitis},Peradangan pada akar saraf tulang belakang.
radioactive immunoassay (RIA),Tes untuk mengukur kadar hormon dalam plasma; diambil setelah larutan radioaktif tertelan
radioactive iodine therapy,Penggunaan yodium radioaktif untuk menghilangkan tumor tiroid.
radioactive iodine uptake,Uji seberapa cepat kelenjar tiroid menarik yodium yang tertelan.
radiography,Produksi gambar diagnostik.
radioimmunoassay (RIA),Tes in vitro untuk mengetahui jumlah obat atau obat yang tersisa di dalam tubuh.
radiology,Spesialisasi medis dalam pencitraan diagnostik dan perawatan radiasi.
radiolucent,Mampu dengan mudah ditembus sinar-X.
radionuclide,Zat radioaktif.
radiopaque,Tidak dapat dengan mudah ditembus sinar-X.
radiopharmaceutical,Zat kimia yang mengandung bahan radioaktif.
radioresistant,Tidak terlalu terpengaruh oleh radiasi.
radiosensitive,Mudah terkena radiasi.
radius,Tulang lengan bawah lebih pendek.
rales {rales},Lihat kresek.
Raynaud's phenomenon,Kejang di arteri jari menyebabkan mati rasa atau nyeri.
reabsorption,Proses pengembalian elemen penting ke aliran darah setelah filtrasi.
receptor {receptor},Jaringan atau organ yang menerima impuls saraf; bagian dari sel target dengan sifat yang kompatibel dengan zat tertentu
reconstructive,Dirancang untuk mengembalikan bagian tubuh ke keadaan atau penampilan aslinya.
rectum {recto},Bagian bawah usus besar; terhubung ke saluran anal.
red blood cell,Salah satu bagian darah padat yang terbentuk dari sel induk dan memiliki hemoglobin di dalamnya; eritrosit.
red blood cell count,Pengukuran sel darah merah dalam milimeter kubik darah.
red blood cell morphology,Pengamatan bentuk sel darah merah.
reduction {reducción},Pengembalian sebagian ke posisi normalnya.
reflex {reflejo},Kontraksi otot yang tidak disengaja sebagai respons terhadap rangsangan.
reflux {reflujo},Lihat regurgitasi.
refraction {refracción},Proses pembengkokan sinar cahaya.
regurgitation {regurgitación},Aliran mundur dari arah normal.
reiki,Terapi yang menggunakan sentuhan dari penyembuh.
relapse,Kambuhnya penyakit.
releasing factor,Zat dalam hormon yang memungkinkan sekresi hormon lain.
remission,Hilangnya penyakit untuk sementara waktu.
renal pelvis,Area pengumpulan urin di tengah ginjal.
renin {renina},Enzim diproduksi di ginjal untuk mengatur laju filtrasi darah dengan cara meningkatkan tekanan darah seperlunya.
renogram {renograma},Pencitraan radioaktif fungsi ginjal setelah pengenalan zat yang disaring melalui ginjal saat diamati.
repolarization {repolarización},Status pengisian ulang; transisi dari kontraksi ke istirahat yang terjadi dalam sistem konduksi jantung.
reproductive system,Baik sistem tubuh pria maupun wanita yang mengontrol reproduksi.
resectioning,Pengangkatan tumor dan sejumlah besar jaringan di sekitarnya.
resectoscope {resectoscopio},Jenis endoskopi untuk menghilangkan lesi.
respiratory system,Sistem tubuh yang meliputi paru-paru dan saluran udara serta melakukan pernapasan; sistem tubuh untuk bernapas.
respiratory tract,Jalan yang dilalui udara masuk dan keluar dari paru-paru.
reticular layer,Sublapisan bawah dermis yang mengandung retikula (jaringan struktur dengan jaringan ikat di antaranya).
reticulocytosis {reticulocitosis},Gangguan dengan jumlah eritrosit imatur yang abnormal.
retina {retina},Membran oval dan peka cahaya di lapisan dalam mata; menerjemahkan gelombang cahaya dan mengirimkan informasi ke otak.
retinitis {retinitis},Radang retina.
retinitis pigmentosa,Penyakit bawaan yang progresif dengan bintik berpigmen di retina dan penglihatan malam yang buruk.
retractor,Alat yang digunakan untuk menahan tepi belakang jaringan dan organ untuk mengekspos jaringan atau bagian tubuh lain; ter
retroflexion {retroflexión},Membungkuk ke belakang rahim.
retrograde pyelogram (RP),X-ray dari kandung kemih dan ureter setelah media kontras disuntikkan ke dalam kandung kemih.
retroperitoneal {retroperitoneal},Posterior ke peritoneum.
retroversion {retroversión},Perputaran rahim ke belakang.
retrovirus {retrovirus},Jenis virus yang menyebar dengan menggunakan DNA dalam tubuh untuk membantunya mereplikasi RNA-nya.
Rh factor,Jenis antigen dalam darah yang dapat menyebabkan reaksi transfusi.
rhabdomyoma {rabdomioma},Tumor jinak pada otot lurik.
rhabdomyosarcoma {rabdomiosarcoma},Tumor ganas pada otot lurik.
rheumatic heart disease,Katup jantung dan / atau kerusakan otot yang disebabkan oleh infeksi streptokokus yang tidak diobati.
rheumatoid arthritis,Gangguan autoimun yang mempengaruhi jaringan ikat.
rheumatoid factor test,Tes digunakan untuk mendeteksi rheumatoid arthritis.
rheumatologist {reumatólogo},"Dokter yang memeriksa, mendiagnosis, dan merawat gangguan pada persendian dan sistem muskuloskeletal."
rhinitis {rinitis},Peradangan hidung.
rhinoplasty {rinoplastia},Perbaikan bedah hidung.
rhinorrhea {rinorrea},Keluarnya cairan dari hidung.
Rh-negative,Kekurangan faktor Rh pada permukaan sel darah.
rhonchi {ronquidos},Lihat mengi.
Rh-positive,Memiliki faktor Rh pada permukaan sel darah.
rib {costilla},Satu dari dua puluh empat tulang yang membentuk dinding dada.
rickets {raquitismo},"Penyakit pada sistem rangka, biasanya disebabkan oleh kekurangan vitamin D."
right atrium,Bilik kanan atas jantung.
right lower quadrant,Kuadran di sisi kanan bawah anterior tubuh pasien.
right upper quadrant,Kuadran di sisi kanan atas anterior tubuh pasien.
right ventricle,Bilik kanan bawah jantung.
rigidity {rigidez},Kekakuan.
rigor {rigor},Pengerasan.
ringworm {tiña},Infeksi jamur; tinea.
risk factor,"Salah satu dari berbagai faktor yang dianggap meningkatkan kemungkinan terjadinya suatu penyakit; Misalnya, tekanan dara"
rods {bastoncillos},Sel reseptor khusus di retina yang melihat warna hitam ke putih.
roentgenology,Radiologi.
root,Porsi gigi yang terletak di bawah garis rahang.
root canal,Struktur tubular yang menahan pembuluh darah dan saraf antara rongga pulpa dan garis rahang.
rosacea {rosácea},"Penyakit pembuluh darah yang menyebabkan bercak merah pada kulit, terutama di hidung dan pipi."
roseola,"Kulit meletus kecil, bercak kemerahan, biasanya disebabkan oleh virus."
rub {roce},"Suara gesekan terdengar di antara detak jantung, biasanya mengindikasikan murmur perikardial."
rubella {rubéola},Penyakit yang menyebabkan ruam kulit karena virus; Campak jerman.
rubeola {rubéola},Penyakit yang menyebabkan ruam kulit karena virus; campak.
rugae {rugae},Lipatan di lapisan perut.
sacrum {sacro},Vertebra tulang belakang terakhir terdiri dari lima tulang yang menyatu; vertebra yang merupakan bagian dari panggul.
sagittal plane,Garis imajiner yang membagi tubuh menjadi bagian kanan dan kiri.
saliva {saliva},Cairan yang disekresikan oleh kelenjar ludah; mengandung amilase.
salivary glands,Kelenjar di mulut yang mengeluarkan cairan yang membantu memecah makanan.
salpingectomy {salpingectomía},Pengangkatan tuba falopi.
salpingitis {salpingitis},Radang saluran tuba.
salpingotomy,Insisi di tuba falopi.
saphenous vein,Salah satu kelompok vena yang mengangkut darah terdeoksigenasi dari kaki.
sarcoidosis {sarcoidosis},Kondisi peradangan dengan lesi pada kelenjar getah bening dan organ lain.
sarcoma,"Tumor yang relatif jarang yang berasal dari otot, jaringan ikat, dan getah bening."
scabies {sarna},Letusan kulit yang disebabkan oleh tungau yang masuk ke dalam kulit.
"scale {escala, costra}",Sepiring kecil kulit keras yang lepas.
scalpel,Pisau yang digunakan untuk pembedahan atau diseksi.
scan,Gambar didapat dari bagian dalam bodi.
scapula {escápula},Tulang pipih besar yang membentuk tulang belikat.
Schick test,Tes difteri.
schizophrenia,"Kondisi dengan psikosis berulang, seringkali disertai halusinasi."
sciatica {ciática},"1. Nyeri di punggung bawah, biasanya menjalar ke kaki, akibat hernia diskus atau cedera atau kondisi lainnya. 2. Radang"
scirrhous,"Keras, padat."
"sclera (pl., sclerae) {esclerótica}",Selaput tebal dan keras di lapisan luar mata; mendukung struktur bola mata.
scleritis {escleritis},Peradangan sklera.
scleroderma {esclerodermia},Penebalan kulit disebabkan oleh peningkatan pembentukan kolagen.
scoliosis {escolisis},Kelengkungan lateral tulang belakang yang abnormal.
scotoma {escotoma},Titik buta dalam penglihatan.
scratch test,Uji sensitivitas alergi di mana sejumlah kecil antigen tergores ke permukaan kulit.
scrotum {escroto},Kantung di luar tubuh berisi buah zakar.
sebaceous cyst,Kista mengandung sebum kuning.
sebaceous glands,Kelenjar di dermis yang terbuka ke folikel rambut dan mengeluarkan sebum.
seborrhea {seborrea},Produksi sebum berlebih oleh kelenjar sebaceous.
sebum {sebo},"Bahan berminyak, biasanya disekresikan ke dalam folikel rambut."
second bicuspid,Gigi kelima dari median garis rahang.
second molar,Gigi kedua dari terakhir di bagian belakang mulut.
secondary hypertension,"Hipertensi diketahui penyebabnya, seperti penyakit ginjal."
secondary teeth,Gigi permanen.
second-degree burn,Luka bakar yang cukup parah yang mempengaruhi epidermis dan dermis; biasanya melibatkan lepuh.
sedative,Agen yang meredakan perasaan gelisah.
sedimentation rate (SR),Lihat laju sedimentasi eritrosit.
sella turcica {silla turcica},Depresi tulang di tulang sphenoid tempat kelenjar pituitari berada.
semen {semen},"Cairan kental berwarna keputihan yang mengandung spermatozoa dan sekresi dari vesikula seminalis, kelenjar Cowper, dan p"
semen analysis,Pengamatan air mani untuk kelangsungan hidup sperma.
semicircular canals,Struktur di telinga bagian dalam penting untuk keseimbangan.
semilunar valve,Salah satu dari dua katup yang mencegah aliran balik darah yang mengalir keluar dari jantung ke aorta dan arteri pulmona
seminoma,Tumor ganas pada testis.
sensory receptors,Jaringan khusus yang mengandung sel yang dapat menerima rangsangan.
sensory system,Sistem tubuh yang mencakup mata dan telinga serta bagian dari sistem lain yang terlibat dalam reaksi panca indera; organ
septal defect,Kelainan kongenital yang terdiri dari bukaan pada septum antara atrium atau ventrikel.
septoplasty {septoplastia},Perbaikan bedah septum hidung.
septostomy {septostomía},Penciptaan lubang di septum hidung.
"septum (pl., septa) {tabique}","1. Partisi antara bilik kiri dan kanan jantung. 2. Pembelahan tulang rawan, seperti di hidung atau mediastinum."
sequestrum {secuestro},Sepotong jaringan mati atau tulang terpisah dari daerah sekitarnya.
serum {suero},Cairan tertinggal setelah darah menggumpal. Tes kalsium serum untuk kalsium dalam darah.
serum creatine phosphokinase,Enzim aktif dalam kontraksi otot; biasanya fosfokinase meningkat setelah infark miokard dan dengan adanya penyakit otot
serum enzyme tests,Tes laboratorium dilakukan untuk mendeteksi enzim yang ada selama atau setelah infark miokard; studi enzim jantung.
serum phosphorus,Tes fosfor dalam darah.
sesamoid bone,Tulang terbentuk di tendon di atas sendi.
sessile polyp,Polip yang menjorok ke atas dari dasar yang luas.
shin {espinilla},Tonjolan anterior tibia.
shingles {culebrilla},Penyakit virus yang menyerang saraf tepi dan disebabkan oleh herpes zoster.
short bones,Tulang berbentuk persegi dengan dimensi yang kurang lebih sama di semua sisi.
sialoadenitis,Peradangan pada kelenjar ludah.
sight {vista},Kemampuan untuk melihat.
sigmoid colon,Bagian usus besar berbentuk S yang menghubungkan di bagian bawah ke rektum.
sigmoidoscopy {sigmoidoscopia},Pemeriksaan kolon sigmoid menggunakan sigmoidoscope.
silicosis,Kondisi paru-paru yang disebabkan oleh debu silika dari batu gerinda atau kaca atau bahan lain yang digunakan dalam pemb
simple fracture,Fraktur tanpa luka kulit terbuka.
singultus {singulto},Cegukan.
sinoatrial (SA) node,"Wilayah atrium kanan yang mengandung jaringan khusus yang mengirimkan impuls listrik ke otot jantung, menyebabkannya ber"
sinus {seno},"1. Rongga berlubang, terutama salah satu dari dua rongga di sisi hidung. 2. Ruang antara duktus laktiferus dan puting su"
sinusitis {sinusitis},Radang sinus.
sinusotomy {sinusotomía},Insisi sinus.
sinus rhythm,Irama jantung normal.
skeleton {esqueleto},Kerangka tulang tubuh.
skin graft,Penempatan kulit segar di atas area yang rusak.
SMA (sequential multiple analyzer),Mesin kimia darah asli; sekarang sinonim untuk kimia darah.
small intestine,Tabung sepanjang dua puluh kaki yang melanjutkan proses pencernaan dimulai di perut; tempat di mana sebagian besar penye
"smell {olfacción, oler}",Kemampuan untuk merasakan bau.
smooth muscle,Otot berserat dari organ dalam yang bekerja tanpa disengaja
social worker,Profesional nonmedis yang dilatih sebagai advokat untuk orang-orang (seperti orang tua atau anak-anak) dan mungkin juga
sociopathy,Pengabaian yang sangat tidak berperasaan terhadap orang lain.
socket,Ruang di garis rahang tempat gigi tumbuh di atas garis rahang.
soft palate,Bagian posterior lunak dari langit-langit mulut; lembaran otot fleksibel yang memisahkan nasofaring dari bagian faring l
solid tumor,Karsinoma; jenis tumor yang paling umum.
somatic nervous system,Bagian dari sistem saraf tepi yang menerima dan memproses masukan sensorik dari berbagai bagian tubuh.
somatoform disorders,Gangguan jiwa termasuk gejala fisik yang memiliki dasar psikologis.
somatotrophic hormone (STH),Hormon disekresi oleh kelenjar hipofisis anterior; penting dalam pertumbuhan dan perkembangan.
somnambulism {sonambulismo},Tidur berjalan.
somnolence {somnolencia},Rasa kantuk yang ekstrim yang disebabkan oleh gangguan neurologis.
sonogram,Citra USG.
sonography {sonografía},Produksi gambar berdasarkan gema gelombang suara terhadap struktur.
spasm {espasmo},Kontraksi otot yang tiba-tiba dan tidak disengaja.
spastic,Cenderung mengalami kejang.
specific gravity,"Pengukuran konsentrasi limbah, mineral, dan padatan dalam urin."
SPECT (single photon emission computed tomography) brain scan,Citra otak dihasilkan dengan menggunakan isotop radioaktif.
sperm {esperma},Sel kelamin pria yang mengandung kromosom.
spermatogenesis,Produksi sperma.
"spermatozoon(pl., spermatozoa) {espermatozoo}",Lihat sperma.
spermicide {espermicida},Bahan kimia kontrasepsi yang menghancurkan sperma; biasanya dalam bentuk krim atau jeli.
sphenoid bone,Tulang yang membentuk dasar tengkorak.
sphenoid sinus,Sinus di atas dan di belakang hidung.
sphygmomanometer {esfigmomanómetro},Alat untuk mengukur tekanan darah.
spina bifida {espina bífida},Cacat bawaan dengan kelainan bentuk tulang belakang.
spinal cavity,Ruang tubuh yang berisi sumsum tulang belakang.
spinal column,"Kolom vertebra di bagian belakang tubuh, dari leher sampai tulang ekor."
spinal cord,Jaringan seperti tali yang berada di dalam kolom tulang belakang dan dari mana saraf tulang belakang meluas.
spinal curvature,Kelengkungan tulang belakang yang tidak normal.
spinal nerves,Salah satu dari 31 pasang saraf yang membawa pesan ke dan dari sumsum tulang belakang serta batang tubuh dan ekstremitas
spinous process,Tonjolan dari bagian tengah lengkung vertebralis.
spirometer {espirómetro},Mesin penguji yang mengukur volume dan kapasitas paru-paru.
spleen {bazo},"Organ sistem getah bening yang menyaring, menyimpan, dan mengeluarkan darah, serta mengaktifkan limfosit."
splenectomy {esplenectomía},Pengangkatan limpa.
splenomegaly,Limpa membesar.
splinting {ferulización},Menerapkan bidai untuk melumpuhkan bagian tubuh.
spondylolisthesis {espondilolistesis},Kondisi degeneratif di mana salah satu vertebra tidak sejajar dengan yang di bawahnya; disk tergelincir.
spondylolysis {espodilolisis},Kondisi degeneratif bagian bergerak dari sebuah vertebra.
spondylosyndesis {espondilosindesis},Perpaduan dua atau lebih tulang belakang.
sponge {esponja},Alat kontrasepsi poliuretan yang diisi dengan spermisida dan diletakkan di vagina dekat leher rahim.
spongy bone,Tulang dengan kisi terbuka berisi jaringan ikat atau sumsum.
sprain,Cedera pada sendi tanpa dislokasi atau patah tulang.
spur,Proyeksi tulang tumbuh dari tulang; batu kapur.
sputum sample or culture,Kultur bahan yang dikeluarkan (atau dibawa kembali sebagai lendir).
squamous cell carcinoma,Kanker epitel skuamosa.
squamous epithelium,Lapisan sel rata dan bersisik yang membentuk epidermis.
stage,Tingkat penyebaran tumor.
standard precautions,Pedoman yang dikeluarkan oleh Pusat Pengendalian Penyakit untuk mencegah penyebaran penyakit.
stapedectomy,Pengangkatan stapes untuk menyembuhkan otosklerosis.
"stapes (pl., stapes, stapedes) {estribo}",Salah satu dari tiga tulang telinga pendengaran; sanggurdi.
staples,Perangkat logam yang digunakan untuk menjahit sayatan bedah.
statins,Kelas agen penurun lipid yang paling sering digunakan saat ini.
steatorrhea {esteatorrea},Lemak di dalam darah.
stem cell,Sel yang belum matang terbentuk di sumsum tulang yang berdiferensiasi menjadi sel darah merah atau putih.
stenosis {estenosis},"Penyempitan, terutama pada pembuluh darah atau katup jantung."
stent,Alat yang ditanamkan secara bedah yang digunakan untuk menahan sesuatu (sebagai pembuluh darah) agar terbuka.
stereotactic frame,Tutup kepala yang dikenakan oleh pasien membutuhkan ketelitian yang tepat dalam pengobatan anomali otak.
stereotaxy STER-e-o-T0K t7k] surgery,Penghancuran struktur otak yang dalam menggunakan koordinat tiga dimensi untuk menemukan struktur tersebut.
sternum {esternón},Tulang pipih panjang yang membentuk garis tengah anterior toraks.
steroid,Hormon atau zat kimia yang dilepaskan oleh beberapa kelenjar endokrin atau diproduksi dalam berbagai obat.
"stimulus (pl., stimuli) {estimulo}",Apa pun yang membangkitkan respons.
stomach {estómago},Kantung besar di antara kerongkongan dan usus kecil; tempat di mana makanan diuraikan.
stool {heces},Kotoran.
strabismus {estrabismo},Mata tidak sejajar.
strain {distender},Cedera pada otot akibat penggunaan yang tidak benar atau penggunaan berlebihan.
stratified squamous epithelium,Lapisan sel epitel yang menyusun lapisan epitel epidermis.
"stratum (pl., strata){estrato}","Lapisan jaringan, terutama lapisan kulit."
stratum corneum,Sublapisan atas epidermis.
stratum germinativum,Lapisan bawah epidermis.
stress test,"Tes yang mengukur detak jantung, tekanan darah, dan fungsi tubuh lainnya saat pasien berolahraga di treadmill."
striae {estrías},Stretch mark dibuat pada serat kolagen pada lapisan dermis.
striated muscle,Otot dengan penampilan bergaris yang dikendalikan sesuka hati.
stridor {estridor},Suara kokok bernada tinggi terdengar pada kondisi pernafasan tertentu.
stroke {accidente cerebrovascular},Lihat kecelakaan serebrovaskular (CVA).
"sty, stye {orzuelo}",Hordeolum.
styloid process,Penonjolan berbentuk pasak dari tulang.
subcutaneous,Disuntikkan ke lapisan lemak jaringan di bawah lapisan luar kulit.
subcutaneous layer,Lapisan bawah kulit mengandung jaringan lemak.
subdural space,Area antara duramater dan pia mater di mana arakhnoid berjalan.
sublingually,Di bawah lidah.
subluxation {subluxación},"Dislokasi parsial, seperti di antara permukaan sambungan."
sudden infant death syndrome (SIDS),"Kematian bayi, biasanya saat tidur, tanpa sebab yang jelas."
"sulcus (pl., sulci) {surco}",Alur atau alur di permukaan tulang; lihat celah.
superficial,Di atau dekat permukaan (tubuh).
superior,Di atas struktur tubuh lain.
superior lobe,Lobus paling atas dari setiap paru-paru.
superior vena cava,Vena besar yang mengangkut darah dikumpulkan dari bagian atas tubuh ke jantung.
supine,Berbaring telentang menghadap ke atas.
suppository {supositorio},Obat yang dicampur dengan zat leleh setengah padat yang dimaksudkan untuk diberikan dengan cara dimasukkan ke dalam vagi
suppressor cell,Sel T yang menekan sel B dan sel imun lainnya.
suprarenal gland,Kelenjar adrenal.
surgery,"Pengangkatan, transplantasi, atau manipulasi jaringan."
surgical scissors,Gunting digunakan untuk memotong dan membedah jaringan selama operasi
suture {sutura},Bergabungnya dua bagian tulang dengan selaput fibrosa.
suture needles,Jarum digunakan untuk menutup luka bedah dengan menjahit.
sweat glands,Kelenjar melingkar pada kulit yang mengeluarkan keringat untuk mengatur suhu tubuh dan mengeluarkan produk limbah.
sweat test,Tes fibrosis kistik yang mengukur jumlah garam dalam keringat.
sympathetic nervous system,Bagian dari sistem saraf otonom yang beroperasi saat tubuh sedang stres.
sympathomimetic {simpatomimético},Meniru fungsi sistem saraf simpatis.
symphysis {sinfisis},Jenis sendi tulang rawan yang menyatukan dua tulang.
synapse {sinapsis},Ruang tempat impuls saraf melompat dari satu neuron ke neuron lainnya.
synarthrosis {sinartrosis},Sendi berserat tanpa gerakan.
syncope {síncope},Kehilangan kesadaran karena tiba-tiba kekurangan oksigen di otak.
syndrome of inappropriate ADH (SIADH),Sekresi hormon antidiuretik yang berlebihan.
synovectomy {sinovectomía},Pengangkatan sebagian atau seluruh membran sinovial sendi.
synovial fluid,Cairan yang berfungsi untuk melumasi persendian.
synovial joint,Sendi yang bergerak.
synovial membrane,Jaringan ikat yang melapisi rongga persendian dan menghasilkan cairan sinovial.
syphilis {sífilis},Infeksi menular seksual.
syringe {jeringa},Instrumen yang digunakan untuk injeksi atau penarikan cairan.
system,Setiap kelompok organ dan bagian tambahan yang bekerja sama untuk menjalankan fungsi tubuh utama.
systemic lupus erythematosus (SLE),"Bentuk lupus yang paling parah, melibatkan organ dalam."
systole {systole},Fase kontraksi detak jantung.
tachycardia {taquicardia},Denyut jantung lebih dari 100 denyut per menit.
tachypnea {taquipnea},Napas cepat yang tidak normal.
talipes calcaneus,Kelainan bentuk tumit akibat melemahnya otot betis.
talipes valgus,Deformitas kaki ditandai dengan eversi pada kaki.
talipes varus,Deformitas kaki ditandai dengan pembalikan kaki.
target cell,Sel dengan reseptor yang kompatibel dengan hormon tertentu.
"tarsus, tarsal bones",Tujuh tulang punggung kaki (lengkung kaki).
taste,Kemampuan untuk merasakan kualitas materi yang tertelan.
taste buds,Organ yang merasakan rasa makanan.
taste cells,Sel reseptor khusus di dalam indera perasa.
Tay-Sachs disease,"Penyakit keturunan yang menyebabkan kerusakan pada sistem saraf pusat dan, akhirnya, kematian."
T cells,"Sel khusus yang berkembang di timus dan bertanggung jawab atas imunitas seluler, dan membantu imunitas humoral."
